name,cmc,release_year,price,color,image,type_line,artist
Acclaimed Contender,3,2019,0.59,#ffffff,https://cards.scryfall.io/normal/front/7/7/77ba25cb-a8a6-46b6-82be-5c70e663dfdf.jpg?1783932516,Creature — Human Knight,David Gaillet
Ayara- First of Locthwain,3,2019,10.82,#000000,https://cards.scryfall.io/normal/front/d/6/d64632c5-3a56-4210-9432-69b30bf89487.jpg?1783932506,Legendary Creature — Elf Noble,Ryan Pancoast
Blacklance Paragon,2,2019,0.33,#000000,https://cards.scryfall.io/normal/front/d/c/dc22dc1c-37ff-4028-b063-1339947a9227.jpg?1783932505,Creature — Human Knight,Victor Adame Minguez
Bonecrusher Giant // Stomp,3,2019,0.43,#ff1a1a,https://cards.scryfall.io/normal/front/a/7/a7033edf-f152-4c89-9ad2-a431579bb88c.jpg?1783932501,Creature — Giant // Instant — Adventure,Victor Adame Minguez
Brazen Borrower // Petty Theft,3,2019,4.37,#341aff,https://cards.scryfall.io/normal/front/5/c/5cb72f66-c779-4e29-a6f6-45c31fb57aba.jpg?1783932512,Creature — Faerie Rogue // Instant — Adventure,Eric Deschamps
Castle Ardenvale,0,2019,1.06,#ffffff,https://cards.scryfall.io/normal/front/1/4/14255ada-7b64-497a-b9c4-5e25060ba6f8.jpg?1783932486,Land,Volkan Baǵa
Castle Embereth,0,2019,0.5,#ff1a1a,https://cards.scryfall.io/normal/front/a/a/aadb386b-0d3a-41cd-96f9-c453979a12df.jpg?1783932485,Land,Jaime Jones
Castle Garenbrig,0,2019,7.88,#087500,https://cards.scryfall.io/normal/front/f/b/fbef0b7f-f680-4915-a74c-300502745ea6.jpg?1783932485,Land,Adam Paquette
Castle Locthwain,0,2019,4.13,#000000,https://cards.scryfall.io/normal/front/a/a/aad27ff1-ed28-4536-bfdb-5a5de2aa9505.jpg?1783932484,Land,Titus Lunter
Castle Vantress,0,2019,0.81,#341aff,https://cards.scryfall.io/normal/front/9/2/92e2debb-a07e-43a8-bec9-6ca384b536f9.jpg?1783932483,Land,John Avon
Charming Prince,2,2019,3.73,#ffffff,https://cards.scryfall.io/normal/front/6/7/67ca015a-849f-4c9c-9e12-c049cfe16aeb.jpg?1783932516,Creature — Human Noble,Randy Vargas
Clackbridge Troll,5,2019,0.71,#000000,https://cards.scryfall.io/normal/front/c/8/c8fdc534-0ae7-4a64-bc45-06df61c57841.jpg?1783932505,Creature — Troll,Svetlin Velinov
Dance of the Manse,2,2019,0.82,#d78f42,https://cards.scryfall.io/normal/front/0/8/085863ba-06f0-480d-b7be-8f8c4b97d573.jpg?1783932492,Sorcery,Yeong-Hao Han
Doom Foretold,4,2019,0.5,#d78f42,https://cards.scryfall.io/normal/front/7/e/7e1916a0-fdb1-49ee-b3be-859781ca1f53.jpg?1783932492,Enchantment,Daniel Ljunggren
Embercleave,6,2019,10.39,#ff1a1a,https://cards.scryfall.io/normal/front/3/e/3e0838ff-8eb1-40ef-aee9-97cc52b5b8e0.jpg?1783932501,Legendary Artifact — Equipment,Joe Slucher
Emry- Lurker of the Loch,3,2019,1.81,#341aff,https://cards.scryfall.io/normal/front/d/6/d660ced3-6988-4cb8-a2c1-c603012855a8.jpg?1783932511,Legendary Creature — Merfolk Wizard,Livia Prima
Escape to the Wilds,5,2019,1.23,#d78f42,https://cards.scryfall.io/normal/front/b/e/be16a90c-793e-45d8-86a1-6545a40e8666.jpg?1783932492,Sorcery,Chris Ostrowski
