name,cmc,release_year,price,color,image,type_line,artist
Altar of the Brood,1,2025,10.28,#8c8d8b,https://cards.scryfall.io/normal/front/0/d/0d656542-f0cd-485d-9d74-05573a2d49e4.jpg?1783905116,Artifact,Josh Freydkis
Arclight Phoenix,4,2022,2.34,#ff1a1a,https://cards.scryfall.io/normal/front/2/7/2793c505-6736-4259-b9c6-6f9369fd476f.jpg?1783920225,Creature — Phoenix,Dani Pendergast
Birthing Pod,4,2022,17.48,#087500,https://cards.scryfall.io/normal/front/3/6/36df0c13-b7cb-44d6-85e1-17f2967a0f55.jpg?1783920226,Artifact,Wooden Cyclops
Bloodbraid Elf,4,2022,1.04,#d78f42,https://cards.scryfall.io/normal/front/3/5/35964154-94b0-4f3f-ae8f-b7f9e31118c8.jpg?1783920227,Creature — Elf Berserker,Ejiwa "Edge" Ebenebe
Bogardan Hellkite,8,2022,1.08,#ff1a1a,https://cards.scryfall.io/normal/front/d/b/dbcdc29b-f84e-4ad4-a123-de578847a085.jpg?1783920229,Creature — Dragon,GodMachine
Brain Freeze,2,2025,4.14,#341aff,https://cards.scryfall.io/normal/front/a/6/a6382dfc-cadf-41da-ae42-0da9f98074b4.jpg?1783905116,Instant,Your Cinema
Chrome Mox,0,2022,187.52,#8c8d8b,https://cards.scryfall.io/normal/front/e/0/e0d88029-2569-461b-a57d-1af10673f4cf.jpg?1783920231,Artifact,Dan Frazier
Crop Rotation,1,2025,5.02,#087500,https://cards.scryfall.io/normal/front/8/8/8894eed8-fc6b-4bc4-a8d0-daa628911967.jpg?1783905117,Instant,Marcuscus
Deathrite Shaman,1,2022,15.94,#d78f42,https://cards.scryfall.io/normal/front/9/7/9793f0a1-ab76-46e2-add2-200c2a9693b4.jpg?1783920226,Creature — Elf Shaman,Mark Riddick
Demonic Consultation,1,2025,7.46,#000000,https://cards.scryfall.io/normal/front/4/f/4f2f0fda-592f-4420-9703-defa07ffa2dc.jpg?1783905117,Instant,Edward Steed
Dragonlord Ojutai,5,2022,2.54,#d78f42,https://cards.scryfall.io/normal/front/0/1/019728bc-7d37-4384-81e5-97c47660c092.jpg?1783920226,Legendary Creature — Elder Dragon,Yuko Shimizu
Eerie Ultimatum,7,2025,1.94,#d78f42,https://cards.scryfall.io/normal/front/9/d/9d96d034-7c69-4aec-835c-233cf941db70.jpg?1783905115,Sorcery,Alexander Khabbazi
Elite Spellbinder,3,2022,0.53,#ffffff,https://cards.scryfall.io/normal/front/6/3/63fb443a-4023-4353-8060-c0db6b2c596b.jpg?1783920224,Creature — Human Cleric,Alexis Ziritt
Elspeth- Sun's Champion,6,2022,5.01,#ffffff,https://cards.scryfall.io/normal/front/9/1/9125f141-ee2c-4b9f-b9c1-9b9a779002d2.jpg?1783920226,Legendary Planeswalker — Elspeth,Rebecca Guay
Emry- Lurker of the Loch,3,2022,4.96,#341aff,https://cards.scryfall.io/normal/front/2/4/24e85f3d-a2f5-43ac-937a-ebb754de2f8a.jpg?1783920224,Legendary Creature — Merfolk Wizard,Brandi Milne
Field of the Dead,0,2025,30.83,#8c8d8b,https://cards.scryfall.io/normal/front/1/e/1e1f470f-1194-4a87-ab6e-3574f5731642.jpg?1783905114,Land,Colby Nichols
Genesis,5,2022,1.19,#087500,https://cards.scryfall.io/normal/front/f/9/f9052ad9-a8b3-4fa3-8cbe-223b306c8328.jpg?1783920230,Creature — Incarnation,Michael Hutter
Glimpse of Nature,1,2022,4.61,#087500,https://cards.scryfall.io/normal/front/2/3/23684d0f-c3c6-4b84-a5be-d6ca1085dae0.jpg?1783920230,Sorcery,JungShan
Gray Merchant of Asphodel,5,2025,8.27,#000000,https://cards.scryfall.io/normal/front/d/7/d7655424-a6c9-4c90-bc27-b4b4c3d78d12.jpg?1783905114,Creature — Zombie,Jack Hughes
Heritage Druid,1,2022,4.88,#087500,https://cards.scryfall.io/normal/front/b/2/b2a6bfbc-24e9-4309-8490-0f0dbe74aae6.jpg?1783920226,Creature — Elf Druid,Rovina Cai
Hymn to Tourach,2,2025,0.6,#000000,https://cards.scryfall.io/normal/front/0/2/028a52c2-d641-49a5-a93b-4c5d01e67234.jpg?1783905114,Sorcery,Sophy Hollington
Isochron Scepter,2,2025,10.85,#8c8d8b,https://cards.scryfall.io/normal/front/d/4/d4f4ccdc-ffeb-4393-836d-f46204ad9b65.jpg?1783905115,Artifact,Kieran Yanner
Junji- the Midnight Sky,5,2025,3.33,#000000,https://cards.scryfall.io/normal/front/1/0/1050fea7-307b-47fb-94f4-36f5cb481b2b.jpg?1783905113,Legendary Creature — Dragon Spirit,Diego Andrade
Krark-Clan Ironworks,4,2025,16.48,#8c8d8b,https://cards.scryfall.io/normal/front/8/1/8146d912-d493-4a18-a59e-75f55276c7b5.jpg?1783905113,Artifact,Jimmy Knives
Lightning Helix,2,2022,1.1,#d78f42,https://cards.scryfall.io/normal/front/6/c/6c542d42-e475-49d5-aeeb-be04d6e23646.jpg?1783920230,Instant,Martin Ontiveros
Lim-Dûl's Vault,2,2022,9.99,#d78f42,https://cards.scryfall.io/normal/front/9/9/9911cc02-ef9a-458b-94d2-50af92ad6628.jpg?1783920232,Instant,Wizard of Barge
Lin Sivvi- Defiant Hero,3,2022,0.91,#ffffff,https://cards.scryfall.io/normal/front/4/d/4d8dd50e-576a-4e19-9ac2-a3d444a759f1.jpg?1783920231,Legendary Creature — Human Rebel,AlbaBG
Llanowar Elves,1,2025,16.32,#087500,https://cards.scryfall.io/normal/front/e/e/eea9251b-ca83-420f-ac5f-4fc3ea8dc190.jpg?1783905113,Creature — Elf Druid,Ampreh
Mishra's Factory,0,2022,1.93,#8c8d8b,https://cards.scryfall.io/normal/front/c/9/c9eb1309-5e60-4b8f-b63c-ebe62030db5c.jpg?1783920232,Land,DXTR
Myrel- Shield of Argive,4,2025,19.84,#ffffff,https://cards.scryfall.io/normal/front/1/4/14b4d558-11f2-46d0-8f25-d44f5e74f70c.jpg?1783905113,Legendary Creature — Human Soldier,Molly Mendoza
Narset's Reversal,2,2025,4.3,#341aff,https://cards.scryfall.io/normal/front/3/e/3efbd60f-f1c0-4657-b2e4-902086b061b6.jpg?1783905112,Instant,Ben Newman
Nashi- Moon Sage's Scion,3,2022,6.51,#000000,https://cards.scryfall.io/normal/front/a/e/aedf907b-7d8e-4c6d-b3da-2aae1b327ee1.jpg?1783920222,Legendary Creature — Rat Ninja,Deathburger
Necropotence,3,2022,47.13,#000000,https://cards.scryfall.io/normal/front/7/d/7dae100a-ea1d-45f3-b47c-b278cda462ad.jpg?1783920231,Enchantment,Rafal Wechterowicz (Too Many Skulls)
Nicol Bolas- God-Pharaoh,7,2022,4.07,#d78f42,https://cards.scryfall.io/normal/front/f/a/fa553e54-e6aa-499b-ac48-0cdbf6c37734.jpg?1783920224,Legendary Planeswalker — Bolas,Uta Natsume
Ob Nixilis- the Fallen,5,2025,3.74,#000000,https://cards.scryfall.io/normal/front/c/6/c6c0bbd8-c428-4773-bd78-974d92f0e8bc.jpg?1783905112,Legendary Creature — Demon,Skinner
Phyrexian Altar,3,2025,58.28,#8c8d8b,https://cards.scryfall.io/normal/front/6/8/68875b43-6839-467c-909e-52fd2212b7de.jpg?1783905112,Artifact,See Machine
Ponder,1,2022,10.61,#341aff,https://cards.scryfall.io/normal/front/b/f/bf4e917c-e5ab-435f-99ba-efc77862add4.jpg?1783920229,Sorcery,Lauren YS
