name,cmc,release_year,price,color,image,type_line,artist
Abby- Merciless Soldier,3,2025,1.72,#d78f42,https://cards.scryfall.io/normal/front/2/8/28e11b59-c677-4235-a377-18921c5131f0.jpg?1783905138,Legendary Creature — Human Survivor,Wayne Wu
Abrade,2,2026,6.71,#ff1a1a,https://cards.scryfall.io/normal/front/3/1/31af49a8-e655-4670-b035-58171a6a57b9.jpg?1783903509,Instant,Hagiya Kaoru
Abrupt Decay,2,2026,13.68,#d78f42,https://cards.scryfall.io/normal/front/9/f/9f5a5d37-fbf7-4c3d-b0f2-f6bc139ef2cd.jpg?1783903510,Instant,Nathaniel Himawan
Academy Manufactor,3,2026,8.62,#8c8d8b,https://cards.scryfall.io/normal/front/c/8/c88eb33d-efba-4ad9-878f-f051079c9bce.jpg?1783904228,Artifact Creature — Assembly-Worker,David Szabo
Academy Ruins,0,2023,18.49,#341aff,https://cards.scryfall.io/normal/front/2/b/2b6b2979-a887-4ad8-b123-4aea916de36a.jpg?1783913472,Legendary Land,Eliz Roxs
Acererak the Archlich,3,2024,10.46,#000000,https://cards.scryfall.io/normal/front/c/d/cdfd08aa-0e6b-42e1-aa4a-a2bd09581a70.jpg?1783909712,Legendary Creature — Zombie Wizard,Tyler Jacobson
Acidic Slime,5,2020,4.72,#087500,https://cards.scryfall.io/normal/front/1/e/1e6bd3fa-0d07-4519-b67f-67867ad13c89.jpg?1783929776,Creature — Ooze,Wizard of Barge
Adaptive Automaton,3,2022,6.68,#8c8d8b,https://cards.scryfall.io/normal/front/2/f/2f038672-d03c-4349-9261-1b76ae4594c6.jpg?1783919213,Artifact Creature — Construct,Jack Hughes
Admiral Beckett Brass,4,2024,12.43,#d78f42,https://cards.scryfall.io/normal/front/2/2/22d69040-2065-4975-88d3-60bd32731771.jpg?1783911043,Legendary Creature — Human Pirate,Fajareka Setiawan
Admonition Angel,6,2020,22.9,#ffffff,https://cards.scryfall.io/normal/front/4/8/4800ebc2-d5a7-4c26-a2f7-943a540ae47e.jpg?1783929164,Creature — Angel,Anato Finnstark
Aether Gust,2,2021,1.82,#341aff,https://cards.scryfall.io/normal/front/b/c/bcc1aa91-ec97-4fe8-b4b1-a213f050f956.jpg?1783924583,Instant,Mateus Manhanini
Aetherize,4,2024,22.26,#341aff,https://cards.scryfall.io/normal/front/7/9/7993b049-09d8-4c1a-9455-bb092249e0b6.jpg?1783909218,Instant,Peach Momoko
Aether Vial,1,2024,9.64,#8c8d8b,https://cards.scryfall.io/normal/front/f/6/f6151f39-966e-4af6-a20a-d761781abed9.jpg?1783912013,Artifact,Rovina Cai
Agent of Treachery,7,2025,8.3,#341aff,https://cards.scryfall.io/normal/front/0/6/06b4ed70-caf5-4f83-9a24-22c81b11932a.jpg?1783906757,Creature — Human Rogue,Jay Howell
Aggravated Assault,3,2026,18.74,#ff1a1a,https://cards.scryfall.io/normal/front/a/6/a6a8223a-98f9-43b9-aa89-b6a2c6fcaebe.jpg?1783903395,Enchantment,Samuel Perin
Aggressive Mining,4,2025,1.33,#ff1a1a,https://cards.scryfall.io/normal/front/5/d/5d5835dd-f789-481e-b9dd-a0910af61326.jpg?1783906073,Enchantment,Ian Permana
Aisha of Sparks and Smoke,3,2022,5.16,#d78f42,https://cards.scryfall.io/normal/front/6/8/684f54a1-caf1-499e-aa71-e081a4dd916d.jpg?1783924009,Legendary Creature — Human Warrior,Yongjae Choi
Ajani- Mentor of Heroes,5,2022,5.78,#d78f42,https://cards.scryfall.io/normal/front/e/b/ebbfc1b2-2407-4079-a847-6bb6b9a2c9de.jpg?1783924016,Legendary Planeswalker — Ajani,Uta Natsume
Akroma- Angel of Fury,8,2023,1.96,#ff1a1a,https://cards.scryfall.io/normal/front/6/3/635ca686-c04e-47df-b1b5-687bb7c69d4c.jpg?1783916622,Legendary Creature — Angel,Randy Vargas
Akroma- Angel of Wrath,8,2022,10.83,#ffffff,https://cards.scryfall.io/normal/front/c/f/cf75f895-3481-4c21-a85f-c819613bccc3.jpg?1783922249,Legendary Creature — Angel,Livia Prima
Alchemist's Refuge,0,2021,11.7,#d78f42,https://cards.scryfall.io/normal/front/4/a/4a6cf714-29b9-4c06-9412-d958a5ffbd66.jpg?1783925164,Land,DZO
Alela- Artful Provocateur,4,2024,14.61,#d78f42,https://cards.scryfall.io/normal/front/b/4/b40f7528-5162-4454-afa8-9ecb912d7ec7.jpg?1783912020,Legendary Creature — Faerie Warlock,Phoebe Wahl
Alesha- Who Smiles at Death,3,2022,2.68,#d78f42,https://cards.scryfall.io/normal/front/5/e/5e38facb-f520-4950-aa73-bebd2011565c.jpg?1783922912,Legendary Creature — Human Warrior,Winona Nelson
All Is Dust,7,2021,17.13,#8c8d8b,https://cards.scryfall.io/normal/front/2/b/2bc7280c-8136-4ac3-b2d6-6679e13b0470.jpg?1783927076,Kindred Sorcery — Eldrazi,Dominik Mayer
Alms Collector,4,2023,15.58,#ffffff,https://cards.scryfall.io/normal/front/d/a/da88239e-1155-4657-9685-ab3f323672ea.jpg?1783917371,Creature — Cat Cleric,Paul Mafayon
Aloy- Savior of Meridian,5,2025,5.56,#d78f42,https://cards.scryfall.io/normal/front/9/0/90dee895-037c-45f9-ac4f-b2277da85459.jpg?1783905125,Legendary Creature — Human Warrior,Crystal Fae
Aminatou- the Fateshifter,3,2023,6.23,#d78f42,https://cards.scryfall.io/normal/front/4/f/4fe22cd8-31e6-491b-bce2-db257668eb92.jpg?1783914783,Legendary Planeswalker — Aminatou,Uta Natsume
Amy Rose,4,2025,1.67,#d78f42,https://cards.scryfall.io/normal/front/6/a/6ac0c02f-6428-4ed0-bd1a-bf9f4af9c3c1.jpg?1783906091,Legendary Creature — Hedgehog Warrior,Evan Stanley
Ancient Amphitheater,0,2025,1.75,#d78f42,https://cards.scryfall.io/normal/front/1/5/15106aa1-45d6-486b-9ce0-d999161fbd6e.jpg?1783907938,Land,Hari & Deepti
Ancient Bronze Dragon,7,2026,21.61,#087500,https://cards.scryfall.io/normal/front/b/5/b571077e-a4a5-4442-99d9-558a4ffe55e9.jpg?1783904247,Creature — Elder Dragon,Simon Dominic
Ancient Den,0,2021,12.64,#ffffff,https://cards.scryfall.io/normal/front/d/1/d1f4c301-6015-456a-8989-e0055402809e.jpg?1783925175,Artifact Land,DXTR
Ancient Greenwarden,6,2025,16.39,#087500,https://cards.scryfall.io/normal/front/7/1/7109092e-52c3-417b-a2c0-340eabb5af9d.jpg?1783906124,Creature — Elemental,Ernanda Souza
Ancient Grudge,2,2020,12.14,#d78f42,https://cards.scryfall.io/normal/front/7/d/7d8adb0c-a322-4447-bf2e-7a74e3b735c4.jpg?1783929770,Instant,AlbaBG
Angel of Despair,7,2025,3.05,#d78f42,https://cards.scryfall.io/normal/front/5/3/5366d209-e609-4f1e-a86b-9f585abe1fa9.jpg?1783907467,Creature — Angel,Abigail Larson
Angel of Serenity,7,2023,10.38,#ffffff,https://cards.scryfall.io/normal/front/b/d/bd17c9df-7d78-4228-a4ca-2f39b69f2ace.jpg?1783914750,Creature — Angel,Nephelomancer
Angel of the Ruins,7,2023,5.59,#ffffff,https://cards.scryfall.io/normal/front/2/e/2e33e540-538c-4c39-9f52-df26bdcac3fc.jpg?1783914752,Artifact Creature — Angel,Fang Xinyu
Anger,4,2026,9.46,#ff1a1a,https://cards.scryfall.io/normal/front/d/d/dd2c39c5-e3d1-421b-b14e-a28e6810a1d1.jpg?1783904213,Creature — Incarnation,Yuko Shimizu & Scott Okumura
Anger of the Gods,3,2023,2.25,#ff1a1a,https://cards.scryfall.io/normal/front/1/b/1b1665ec-7617-4754-b604-656411f7476a.jpg?1783913474,Sorcery,Eliz Roxs
Angrath- the Flame-Chained,5,2022,3.09,#d78f42,https://cards.scryfall.io/normal/front/b/a/ba48c787-a444-4e15-bab7-39994a6e23e7.jpg?1783924017,Legendary Planeswalker — Angrath,Uta Natsume
Anguished Unmaking,3,2025,7.2,#d78f42,https://cards.scryfall.io/normal/front/3/8/387ccdf8-b3f4-4b38-af53-b979886b8ff1.jpg?1783905087,Instant,Yosuke Adachi
Anhelo- the Painter,3,2026,4.33,#d78f42,https://cards.scryfall.io/normal/front/0/6/06dcfe74-1cdd-432f-b449-4dbba6671c5f.jpg?1783903511,Legendary Creature — Vampire Assassin,Mica Angela Hendricks
Animate Dead,2,2025,45.46,#000000,https://cards.scryfall.io/normal/front/a/4/a466aec7-4cda-4a2f-ba8a-eeb3665fbcfc.jpg?1783905164,Enchantment — Aura,Iron Maiden
Anowon- the Ruin Thief,4,2024,2.95,#d78f42,https://cards.scryfall.io/normal/front/2/8/28b41026-4988-44f0-9281-93b3d4905be9.jpg?1783913068,Legendary Creature — Vampire Rogue,David Robert Hovey
Applejack,4,2024,25.84,#d78f42,https://cards.scryfall.io/normal/front/a/8/a8f02241-b268-43c8-b69e-bf10c8a9b9ca.jpg?1783912445,Legendary Creature — Pony,John Thacker
Arbor Elf,1,2024,18.36,#087500,https://cards.scryfall.io/normal/front/d/8/d81bce60-78f6-4f42-9fcd-383f66f85de5.jpg?1783910879,Creature — Elf Druid,Andrew MacLean
Arcane Denial,2,2026,7.34,#341aff,https://cards.scryfall.io/normal/front/a/9/a92394e2-00d3-4106-86ff-e9823e346a97.jpg?1783904247,Instant,Lee Woo-chul
Arcane Signet,2,2026,10.92,#8c8d8b,https://cards.scryfall.io/normal/front/d/c/dc04f5a7-94cf-417d-a09b-972a1ca97ec8.jpg?1783903505,Artifact,Rudy Siswanto
Arcanis the Omnipotent,6,2022,6.97,#341aff,https://cards.scryfall.io/normal/front/a/4/a4ff3bdd-bfd0-4cea-9493-85632b126cf1.jpg?1783922244,Legendary Creature — Wizard,Peter Diamond
Arcbound Ravager,2,2025,15.61,#8c8d8b,https://cards.scryfall.io/normal/front/0/9/09d3b122-adbd-40c5-850a-df11f1b49ea0.jpg?1783906071,Artifact Creature — Beast,Deathburger
Archmage's Charm,3,2026,3.11,#341aff,https://cards.scryfall.io/normal/front/9/e/9e991c4c-bd6d-4cea-9a07-e69febf4ecc4.jpg?1783904247,Instant,Lie Setiawan
Armageddon,4,2025,19.07,#ffffff,https://cards.scryfall.io/normal/front/6/8/68785426-6868-4184-8d52-75a6a920848b.jpg?1783905172,Sorcery,Kieran Yanner
Artifact Mutation,2,2021,5.76,#d78f42,https://cards.scryfall.io/normal/front/b/2/b2f5de3e-f3ca-439f-8b7c-f0b1807f34b4.jpg?1783927076,Instant,Dominik Mayer
