name,cmc,release_year,price,color,image,type_line,artist
Ancient Stirrings,1,2026,1.65,#087500,https://cards.scryfall.io/normal/front/c/f/cff57828-c5c4-405f-a118-dc91c5f754ac.jpg?1783903996,Sorcery,SimzArt
An Offer You Can't Refuse,1,2023,11.36,#341aff,https://cards.scryfall.io/normal/front/1/3/134200c4-88af-4772-9031-a59669e8c2ec.jpg?1783914809,Instant,Miho Irie
Death's Shadow,1,2023,5.24,#000000,https://cards.scryfall.io/normal/front/b/f/bf954e31-015a-4646-8333-40225c847bcc.jpg?1783914808,Creature — Avatar,Matt Stikker
Dragonlord Silumgar,6,2024,18.39,#d78f42,https://cards.scryfall.io/normal/front/c/8/c8a826a3-bd19-4c56-9b86-d6547714c684.jpg?1783913150,Legendary Creature — Elder Dragon,WolfSkullJack
Eldritch Evolution,3,2023,10.94,#087500,https://cards.scryfall.io/normal/front/f/7/f743b688-25e8-421e-97b5-d294dda34817.jpg?1783916638,Sorcery,DZO
Emberheart Challenger,2,2026,25.15,#ff1a1a,https://cards.scryfall.io/normal/front/8/c/8c8fd602-8162-413c-924e-114a5d2ae4c1.jpg?1783903478,Creature — Mouse Warrior,CHOGRIN
Explore,2,2024,1.93,#087500,https://cards.scryfall.io/normal/front/d/6/d6ff821f-d60a-497e-9809-20fd0a80594c.jpg?1783913364,Sorcery,BLUMOO
Expressive Iteration,2,2024,7.82,#d78f42,https://cards.scryfall.io/normal/front/2/b/2be401fd-491c-4283-b8b6-1073431205b9.jpg?1783913365,Sorcery,Dominik Mayer
Fauna Shaman,2,2025,3.24,#087500,https://cards.scryfall.io/normal/front/4/c/4ccab9dd-95b1-491b-b9d4-da60d87d8edd.jpg?1783906777,Creature — Elf Shaman,Nature Nurture
Flowerfoot Swordmaster,1,2025,0.47,#ffffff,https://cards.scryfall.io/normal/front/a/d/ad113af1-d9d1-4471-ab7c-9804308a501d.jpg?1783904693,Creature — Mouse Soldier,Ampreh
Force of Despair,3,2024,6.43,#000000,https://cards.scryfall.io/normal/front/c/2/c298d757-6d9d-4d33-86b6-e198299859be.jpg?1783908507,Instant,Jordan Crane
Forest,0,2026,8.21,#087500,https://cards.scryfall.io/normal/front/a/e/aea42376-97f6-4313-b139-7eeaf427b22b.jpg?1783903494,Basic Land — Forest,John Avon
Garruk Wildspeaker,4,2025,8.33,#087500,https://cards.scryfall.io/normal/front/6/b/6b12a208-0ecf-4403-b988-d8c5ccc2906d.jpg?1783906672,Legendary Planeswalker — Garruk,Merwan Chabane
Goblin Guide,1,2024,2.14,#ff1a1a,https://cards.scryfall.io/normal/front/3/6/363339db-0caa-437c-98b0-ef6a7ed81e6e.jpg?1783911519,Creature — Goblin Scout,Luke Pearson
Innkeeper's Talent,2,2026,29.68,#087500,https://cards.scryfall.io/normal/front/8/e/8ec0033b-d71b-4389-88fe-45c247354546.jpg?1783904275,Enchantment — Class,Ben Newman
