name,cmc,release_year,price,color,image,type_line,artist
Angelic Rocket,8,2017,0.27,#8c8d8b,https://cards.scryfall.io/normal/front/b/d/bd8b8287-7af4-4c5b-8d76-7f865bd602c0.jpg?1783935395,Host Artifact Creature — Angel,Carl Critchlow
Animate Library,6,2017,0.49,#341aff,https://cards.scryfall.io/normal/front/a/d/add4f168-c69e-4045-9725-47208ef69935.jpg?1783935454,Enchantment — Aura,Raymond Swanland
As Luck Would Have It,1,2017,0.38,#087500,https://cards.scryfall.io/normal/front/d/1/d17892f5-5c4a-4149-8d5e-ba9df013866e.jpg?1783935414,Enchantment,Milivoj Ćeran
Baron Von Count,3,2017,0.61,#d78f42,https://cards.scryfall.io/normal/front/1/9/19d31d5c-6d4d-4bd8-b69c-b44c5b7f089f.jpg?1783935400,Legendary Creature — Human Villain,Jesper Ejsing
Bee-Bee Gun,0,2017,0.42,#8c8d8b,https://cards.scryfall.io/normal/front/c/4/c4927de5-69a4-4461-9ebe-b243e9cf00c4.jpg?1783935376,Artifact — Contraption,Chuck Lukacs
Better Than One,2,2017,0.26,#d78f42,https://cards.scryfall.io/normal/front/a/b/abd5cc29-3490-4e35-b7ef-5cd07eb43bf7.jpg?1783935400,Sorcery,Alex Konstad
By Gnome Means,3,2017,0.27,#ffffff,https://cards.scryfall.io/normal/front/e/6/e6921466-edac-40fc-8f5e-d8b2e766d1dd.jpg?1783935464,Enchantment,Sean Murray
Clocknapper,5,2017,0.31,#341aff,https://cards.scryfall.io/normal/front/1/4/14e34f0b-f94b-49fb-a667-8c11dd9d59d4.jpg?1783935451,Creature — Human Spy,Marco Teixeira
Cramped Bunker,6,2017,0.15,#d78f42,https://cards.scryfall.io/normal/front/a/a/aa775e1e-2322-4981-bf14-4f24a3be983e.jpg?1783935399,Enchantment,Ben Wootten
Deadly Poison Sampler,0,2017,0.18,#8c8d8b,https://cards.scryfall.io/normal/front/c/0/c0242175-3e91-4a6e-bcaf-036ff75cef49.jpg?1783935377,Artifact — Contraption,Ralph Horsley
Do-It-Yourself Seraph,6,2017,0.56,#ffffff,https://cards.scryfall.io/normal/front/0/e/0e4f4e8c-6519-4b35-b7b5-54a4c4e32c18.jpg?1783935464,Artifact Creature — Cyborg Angel,David Sladek
Dr. Julius Jumblemorph,4,2017,0.44,#d78f42,https://cards.scryfall.io/normal/front/5/6/564a8222-7760-41bb-b524-9036a036bc8b.jpg?1783935399,Legendary Creature,Simon Dominic
Dual Doomsuits,0,2017,0.21,#8c8d8b,https://cards.scryfall.io/normal/front/d/5/d5c91e63-284e-4403-af01-0cfe6af914c1.jpg?1783935373,Artifact — Contraption,Franz Vohwinkel
