name,cmc,release_year,price,color,image,type_line,artist
Aggravated Assault,3,2023,27.27,#ff1a1a,https://cards.scryfall.io/normal/front/0/1/01499449-5614-428f-8fc1-1fa74f7114ad.jpg?1783914923,Enchantment,Maihope
As Foretold,3,2023,1.73,#341aff,https://cards.scryfall.io/normal/front/3/0/306937c6-0eb3-43d3-bd71-40ef7cefa9e6.jpg?1783914930,Enchantment,Aeron Ng
Bitterblossom,2,2023,33.45,#000000,https://cards.scryfall.io/normal/front/b/d/bdf9661d-b581-4496-9004-f292d9ac03ef.jpg?1783914926,Kindred Enchantment — Faerie,Serena Malyon
Blind Obedience,2,2023,5.63,#ffffff,https://cards.scryfall.io/normal/front/1/c/1cb0ea8e-0707-46a8-9dc6-77c17244fd7b.jpg?1783914934,Enchantment,Olena Richards
Blood Moon,3,2023,9.29,#ff1a1a,https://cards.scryfall.io/normal/front/b/0/b0dbdacf-59b5-46fc-9635-fd4fb1527189.jpg?1783914922,Enchantment,William Phifer
Copy Enchantment,3,2023,1.74,#341aff,https://cards.scryfall.io/normal/front/3/6/36924d70-5ede-4eed-a7db-7bc74d3eede9.jpg?1783914930,Enchantment,Abigail Larson
Dawn of Hope,2,2023,0.34,#ffffff,https://cards.scryfall.io/normal/front/d/e/de36ecaa-62e0-4f1c-b07f-837a786dc897.jpg?1783914934,Enchantment,Maël Ollivier-Henry
Defense of the Heart,4,2023,24.46,#087500,https://cards.scryfall.io/normal/front/6/1/61c15767-1ddd-4bea-a23e-1598708434f6.jpg?1783914919,Enchantment,Olena Richards
Doubling Season,5,2023,39.08,#087500,https://cards.scryfall.io/normal/front/c/7/c7d7db76-0a0c-444f-96f1-559838450549.jpg?1783914920,Enchantment,Eva Eskelinen
Fiery Emancipation,6,2023,13.3,#ff1a1a,https://cards.scryfall.io/normal/front/8/8/8801efe9-e141-4790-9d97-af8fc0222833.jpg?1783914923,Enchantment,Harry Conway
Forced Fruition,6,2023,3.25,#341aff,https://cards.scryfall.io/normal/front/b/8/b8281681-a243-4995-8657-c3730aa67c57.jpg?1783914929,Enchantment,Shafer Brown
