cmc,price,color
5,0.51,#ffffff
4,30.49,#ffffff
7,1.25,#ffffff
5,1.37,#000000
3,8.79,#341aff
3,3.5,#ffffff
3,3.36,#000000
4,0.21,#d78f42
0,2.12,#d78f42
0,4.97,#8c8d8b
4,0.25,#087500
2,0.27,#087500
3,8.45,#ff1a1a
10,1.45,#341aff
7,1.54,#000000
4,0.25,#341aff
4,0.41,#d78f42
3,0.13,#000000
3,0.3,#341aff
1,1.08,#000000
9,0.42,#ffffff
3,0.16,#d78f42
0,3.65,#d78f42
3,3.42,#ffffff
4,0.24,#ffffff
5,0.17,#ffffff
3,1.21,#ff1a1a
2,0.21,#ffffff
5,1.0,#ff1a1a
5,0.12,#341aff
2,0.81,#d78f42
2,0.25,#ff1a1a
3,1.28,#087500
3,0.1,#ff1a1a
4,2.73,#ff1a1a
4,0.11,#ff1a1a
3,0.2,#d78f42
6,0.21,#087500
6,0.69,#ff1a1a
0,0.35,#d78f42
3,0.81,#341aff
5,4.77,#000000
6,0.46,#000000
5,1.34,#000000
7,0.23,#087500
3,0.34,#d78f42
7,0.55,#000000
6,0.19,#341aff
2,1.49,#d78f42
4,6.9,#ffffff
4,0.27,#8c8d8b
3,1.47,#000000
6,0.13,#d78f42
3,4.43,#087500
2,5.55,#341aff
1,0.43,#8c8d8b
11,0.23,#d78f42
5,0.83,#ffffff
3,12.47,#087500
5,4.86,#d78f42
8,1.74,#087500
0,2.87,#d78f42
2,0.45,#000000
0,2.3,#d78f42
1,6.31,#ff1a1a
3,0.7,#ff1a1a
2,0.18,#d78f42
2,6.13,#8c8d8b
4,0.74,#341aff
4,5.55,#087500
