cmc,price,color
4,0.4,#ff1a1a
6,0.24,#ff1a1a
4,0.16,#8c8d8b
0,0.31,#8c8d8b
5,0.16,#d78f42
5,0.18,#ff1a1a
2,0.57,#087500
5,0.21,#8c8d8b
5,0.64,#d78f42
5,0.18,#d78f42
4,0.12,#d78f42
0,2.22,#d78f42
0,1.1,#d78f42
6,2.64,#8c8d8b
7,0.52,#000000
10,0.51,#8c8d8b
1,1.82,#ff1a1a
3,4.61,#000000
6,0.17,#341aff
4,0.12,#d78f42
7,0.58,#ffffff
0,1.27,#8c8d8b
5,0.11,#341aff
2,0.2,#d78f42
6,1.53,#ffffff
4,0.69,#087500
4,5.65,#ffffff
6,1.14,#087500
6,0.25,#8c8d8b
5,0.16,#341aff
6,0.16,#000000
5,0.19,#ffffff
4,3.11,#d78f42
3,0.23,#ffffff
0,0.52,#d78f42
5,0.14,#d78f42
4,0.14,#d78f42
6,0.25,#087500
5,0.14,#d78f42
6,2.37,#8c8d8b
5,0.73,#000000
7,2.75,#d78f42
6,0.41,#087500
3,0.35,#000000
6,2.45,#341aff
5,0.19,#ffffff
0,0.86,#d78f42
5,0.08,#d78f42
2,0.49,#ffffff
3,0.17,#ff1a1a
3,0.19,#000000
0,1.14,#8c8d8b
3,0.13,#341aff
7,0.1,#ff1a1a
0,0.78,#d78f42
0,0.49,#8c8d8b
6,4.12,#d78f42
0,1.85,#d78f42
4,0.84,#000000
0,1.23,#d78f42
5,0.17,#341aff
10,60.2,#8c8d8b
3,3.54,#087500
3,0.11,#d78f42
9,10.77,#8c8d8b
3,0.27,#000000
4,0.14,#087500
4,0.42,#ff1a1a
